,min_diff,high_season,delay_15,period_day
0,3.0,1,0,night
1,9.0,1,0,night
2,9.0,1,0,night
3,3.0,1,0,night
4,2.0,1,0,night
5,1406.0,1,1,night
6,5.0,1,0,night
7,5.0,1,0,night
8,1400.0,1,1,night
9,1371.0,1,1,night
10,9.0,1,0,night
11,14.0,1,0,night
12,7.0,1,0,night
13,4.0,1,0,night
14,11.0,1,0,night
15,9.0,1,0,night
16,9.0,1,0,night
17,12.0,1,0,night
18,15.0,1,0,night
19,2.0,1,0,night
20,2.0,1,0,night
21,8.0,1,0,night
22,5.0,1,0,night
23,52.0,1,1,night
24,5.0,1,0,night
25,0.0,1,0,night
26,26.0,1,1,night
27,3.0,1,0,night
28,5.0,1,0,night
29,2.0,1,0,night
30,2.0,1,0,night
31,7.0,1,0,night
32,1.0,1,0,night
33,5.0,1,0,night
34,4.0,1,0,night
35,1.0,1,0,night
36,5.0,1,0,night
37,3.0,1,0,night
38,2.0,1,0,night
39,4.0,1,0,night
40,6.0,1,0,night
41,4.0,1,0,night
42,4.0,1,0,night
43,4.0,1,0,night
44,9.0,1,0,night
45,10.0,1,0,night
46,0.0,1,0,night
47,2.0,1,0,night
48,1.0,1,0,night
49,4.0,1,0,night
50,10.0,1,0,night
51,20.0,1,1,night
52,11.0,1,0,night
53,24.0,1,1,night
54,5.0,1,0,night
55,7.0,1,0,night
56,14.0,1,0,night
57,5.0,1,0,night
58,0.0,1,0,night
59,25.0,1,1,night
60,1.0,1,0,night
61,0.0,1,0,night
62,4.0,1,0,night
63,13.0,1,0,night
64,3.0,1,0,night
65,2.0,1,0,night
66,5.0,1,0,night
67,0.0,1,0,night
68,2.0,1,0,night
69,3.0,1,0,night
70,9.0,1,0,night
71,5.0,1,0,night
72,3.0,1,0,night
73,4.0,1,0,night
74,10.0,1,0,night
75,9.0,1,0,night
76,62.0,1,1,night
77,2.0,1,0,night
78,8.0,1,0,night
79,19.0,1,1,afternoon
80,60.0,1,1,afternoon
81,17.0,1,1,afternoon
82,26.0,1,1,afternoon
83,14.0,1,0,afternoon
84,67.0,1,1,afternoon
85,84.0,1,1,afternoon
86,63.0,1,1,afternoon
87,97.0,1,1,afternoon
88,17.0,1,1,afternoon
89,90.0,1,1,afternoon
90,130.0,1,1,afternoon
91,24.0,1,1,afternoon
92,77.0,1,1,afternoon
93,32.0,1,1,afternoon
94,39.0,1,1,afternoon
95,48.0,1,1,afternoon
96,6.0,1,0,afternoon
97,2.0,1,0,afternoon
98,28.0,1,1,afternoon
99,11.0,1,0,afternoon
100,33.0,1,1,afternoon
101,69.0,1,1,afternoon
102,20.0,1,1,afternoon
103,3.0,1,0,afternoon
104,22.0,1,1,afternoon
105,21.0,1,1,afternoon
106,22.0,1,1,afternoon
107,27.0,1,1,afternoon
108,6.0,1,0,afternoon
109,20.0,1,1,night
110,17.0,1,1,night
111,19.0,1,1,night
112,47.0,1,1,night
113,5.0,1,0,night
114,63.0,1,1,night
115,55.0,1,1,night
116,53.0,1,1,night
117,105.0,1,1,night
118,20.0,1,1,night
119,72.0,1,1,night
120,26.0,1,1,night
121,99.0,1,1,night
122,52.0,1,1,night
123,33.0,1,1,night
124,147.0,1,1,night
125,18.0,1,1,night
126,25.0,1,1,night
127,5.0,1,0,night
128,21.0,1,1,night
129,13.0,1,0,night
130,21.0,1,1,night
131,11.0,1,0,night
132,4.0,1,0,night
133,1.0,1,0,night
134,8.0,1,0,night
135,6.0,1,0,night
136,4.0,1,0,night
137,6.0,1,0,night
138,4.0,1,0,afternoon
139,0.0,1,0,afternoon
140,3.0,1,0,afternoon
141,1.0,1,0,afternoon
142,10.0,1,0,afternoon
143,16.0,1,1,afternoon
144,1.0,1,0,afternoon
145,1.0,1,0,afternoon
146,14.0,1,0,afternoon
147,8.0,1,0,afternoon
148,7.0,1,0,afternoon
149,7.0,1,0,afternoon
150,5.0,1,0,afternoon
151,17.0,1,1,afternoon
152,1.0,1,0,afternoon
153,12.0,1,0,afternoon
154,3.0,1,0,afternoon
155,33.0,1,1,afternoon
156,6.0,1,0,afternoon
157,4.0,1,0,afternoon
158,8.0,1,0,afternoon
159,7.0,1,0,afternoon
160,1.0,1,0,afternoon
161,3.0,1,0,afternoon
162,7.0,1,0,afternoon
163,12.0,1,0,afternoon
164,2.0,1,0,afternoon
165,7.0,1,0,afternoon
166,14.0,1,0,afternoon
167,14.0,1,0,afternoon
168,5.0,1,0,afternoon
169,11.0,1,0,night
170,13.0,1,0,night
171,2.0,1,0,night
172,12.0,1,0,night
173,7.0,1,0,night
174,1.0,1,0,night
175,14.0,1,0,night
176,7.0,1,0,night
177,6.0,1,0,night
178,0.0,1,0,night
179,3.0,1,0,night
180,9.0,1,0,night
181,4.0,1,0,night
182,2.0,1,0,night
183,7.0,1,0,night
184,3.0,1,0,night
185,1.0,1,0,night
186,4.0,1,0,night
187,9.0,1,0,night
188,1302.0,1,1,night
189,1.0,1,0,night
190,13.0,1,0,night
191,11.0,1,0,night
192,11.0,1,0,night
193,9.0,1,0,night
194,7.0,1,0,night
195,5.0,1,0,night
196,1.0,1,0,night
197,2.0,1,0,night
198,13.0,1,0,night
199,9.0,1,0,night
200,1.0,1,0,night
201,10.0,1,0,morning
202,2.0,1,0,morning
203,2.0,1,0,morning
204,31.0,1,1,morning
205,18.0,1,1,morning
206,13.0,1,0,morning
207,6.0,1,0,morning
208,0.0,1,0,morning
209,20.0,1,1,morning
210,8.0,1,0,morning
211,11.0,1,0,morning
212,8.0,1,0,morning
213,88.0,1,1,morning
214,17.0,1,1,morning
215,27.0,1,1,morning
216,2.0,1,0,morning
217,1.0,1,0,morning
218,33.0,1,1,morning
219,11.0,1,0,morning
220,2.0,1,0,morning
221,10.0,1,0,morning
222,5.0,1,0,morning
223,1.0,1,0,morning
224,12.0,1,0,morning
225,5.0,1,0,morning
226,3.0,1,0,morning
227,10.0,1,0,morning
228,3.0,1,0,morning
229,1.0,1,0,morning
230,1.0,1,0,morning
231,35.0,1,1,morning
232,11.0,1,0,morning
233,11.0,1,0,morning
234,10.0,1,0,morning
235,6.0,1,0,morning
236,14.0,1,0,morning
237,7.0,1,0,morning
238,11.0,1,0,morning
239,0.0,1,0,morning
240,5.0,1,0,morning
241,18.0,1,1,morning
242,8.0,1,0,morning
243,1.0,1,0,morning
244,11.0,1,0,morning
245,17.0,1,1,morning
246,15.0,1,0,morning
247,1.0,1,0,morning
248,4.0,1,0,morning
249,30.0,1,1,morning
250,13.0,1,0,morning
251,4.0,1,0,morning
252,5.0,1,0,morning
253,6.0,1,0,morning
254,7.0,1,0,afternoon
255,5.0,1,0,afternoon
256,25.0,1,1,afternoon
257,4.0,1,0,afternoon
258,10.0,1,0,afternoon
259,11.0,1,0,afternoon
260,14.0,1,0,afternoon
261,2.0,1,0,afternoon
262,3.0,1,0,afternoon
263,7.0,1,0,afternoon
264,9.0,1,0,afternoon
265,42.0,1,1,afternoon
266,9.0,1,0,afternoon
267,4.0,1,0,afternoon
268,9.0,1,0,afternoon
269,8.0,1,0,afternoon
270,7.0,1,0,afternoon
271,6.0,1,0,afternoon
272,5.0,1,0,afternoon
273,0.0,1,0,afternoon
274,9.0,1,0,afternoon
275,6.0,1,0,afternoon
276,1.0,1,0,afternoon
277,2.0,1,0,afternoon
278,3.0,1,0,afternoon
279,1.0,1,0,afternoon
280,3.0,1,0,afternoon
281,4.0,1,0,afternoon
282,3.0,1,0,afternoon
283,12.0,1,0,afternoon
284,14.0,1,0,afternoon
285,6.0,1,0,night
286,1.0,1,0,night
287,28.0,1,1,night
288,1.0,1,0,night
289,1.0,1,0,night
290,8.0,1,0,night
291,8.0,1,0,night
292,12.0,1,0,night
293,8.0,1,0,night
294,3.0,1,0,night
295,37.0,1,1,night
296,4.0,1,0,night
297,7.0,1,0,night
298,3.0,1,0,night
299,9.0,1,0,night
300,1.0,1,0,night
301,4.0,1,0,night
302,3.0,1,0,night
303,6.0,1,0,night
304,8.0,1,0,night
305,7.0,1,0,night
306,7.0,1,0,night
307,2.0,1,0,night
308,8.0,1,0,night
309,1.0,1,0,night
310,14.0,1,0,night
311,10.0,1,0,night
312,11.0,1,0,night
313,2.0,1,0,night
314,27.0,1,1,morning
315,4.0,1,0,morning
316,2.0,1,0,morning
317,15.0,1,0,morning
318,1.0,1,0,night
319,3.0,1,0,night
320,22.0,1,1,night
321,26.0,1,1,night
322,4.0,1,0,night
323,14.0,1,0,night
324,7.0,1,0,night
325,87.0,1,1,night
326,1.0,1,0,night
327,14.0,1,0,night
328,0.0,1,0,night
329,27.0,1,1,night
330,8.0,1,0,night
331,10.0,1,0,night
332,5.0,1,0,night
333,1.0,1,0,night
334,9.0,1,0,night
335,15.0,1,0,night
336,1.0,1,0,night
337,21.0,1,1,night
338,1.0,1,0,night
339,13.0,1,0,night
340,21.0,1,1,night
341,5.0,1,0,night
342,2.0,1,0,night
343,6.0,1,0,night
344,1.0,1,0,night
345,2.0,1,0,night
346,8.0,1,0,night
347,6.0,1,0,morning
348,3.0,1,0,morning
349,16.0,1,1,morning
350,65.0,1,1,afternoon
351,27.0,1,1,morning
352,0.0,1,0,morning
353,2.0,1,0,morning
354,2.0,1,0,morning
355,2.0,1,0,morning
356,7.0,1,0,morning
357,3.0,1,0,morning
358,40.0,1,1,morning
359,11.0,1,0,morning
360,3.0,1,0,morning
361,16.0,1,1,morning
362,13.0,1,0,morning
